Bank_Reference,Date,Deposit_Amount,Description
BNK-B7D3C1,2026-08-20,1042.21,SETTLEMENT FOR INV-1000 Customer_C23B
BNK-BBDBE0,2026-08-24,1158.86,SETTLEMENT FOR INV-1001 Customer_D3F5
BNK-90747F,2026-08-20,4472.09,SETTLEMENT FOR INV-1002 Customer_4BFB
BNK-820BDA,2026-08-21,4324.4,WIRE TRANSFER RECV - REF UNAVAILABLE
BNK-62A656,2026-08-27,3077.27,DELAYED SETTLEMENT INV-1004
BNK-7236C3,2026-08-25,2444.07,SETTLEMENT FOR INV-1005 Customer_8FEE
BNK-E13570,2026-08-23,3799.35,WIRE TRANSFER RECV - REF UNAVAILABLE
BNK-E7D2EA,2026-08-20,4585.23,SETTLEMENT FOR INV-1007 Customer_6FEB
BNK-A409C2,2026-08-20,3301.67,PG-SETTLEMENT INV-1008 (LESS FEES)
BNK-B39900,2026-08-26,3218.87,DELAYED SETTLEMENT INV-1009
BNK-AEA5E9,2026-08-21,3451.21,SETTLEMENT FOR INV-1010 Customer_1F73
BNK-682720,2026-08-25,4937.31,SETTLEMENT FOR INV-1011 Customer_BD4F
BNK-CFFA21,2026-08-25,1505.61,SETTLEMENT FOR INV-1012 Customer_2582
BNK-CCB540,2026-08-20,782.71,WIRE TRANSFER RECV - REF UNAVAILABLE
BNK-3971BF,2026-08-25,920.8,SETTLEMENT FOR INV-1014 Customer_E75D
BNK-166037,2026-08-26,132.84,DELAYED SETTLEMENT INV-1015
BNK-400D10,2026-08-25,2248.8,SETTLEMENT FOR INV-1016 Customer_68B8
BNK-C4B7A3,2026-08-24,1072.26,SETTLEMENT FOR INV-1017 Customer_2953
BNK-423493,2026-08-20,499.58,WIRE TRANSFER RECV - REF UNAVAILABLE
BNK-23BE9D,2026-08-22,3096.71,PG-SETTLEMENT INV-1019 (LESS FEES)
BNK-53F632,2026-08-22,1202.39,SETTLEMENT FOR INV-1020 Customer_BC23
BNK-AC2D8E,2026-08-22,2263.63,SETTLEMENT FOR INV-1021 Customer_6EFF
BNK-CEBBED,2026-08-23,2421.15,SETTLEMENT FOR INV-1022 Customer_D1F2
BNK-762B5A,2026-08-23,4087.72,SETTLEMENT FOR INV-1023 Customer_7728
BNK-EFF247,2026-08-22,3490.66,PG-SETTLEMENT INV-1024 (LESS FEES)
BNK-0F50CC,2026-08-23,3680.43,WIRE TRANSFER RECV - REF UNAVAILABLE
BNK-A8ED5E,2026-08-22,3113.68,WIRE TRANSFER RECV - REF UNAVAILABLE
BNK-287BB1,2026-08-23,676.57,SETTLEMENT FOR INV-1027 Customer_6471
BNK-FD4EC4,2026-08-20,1778.24,SETTLEMENT FOR INV-1028 Customer_2BB4
BNK-51E12D,2026-08-24,3888.68,SETTLEMENT FOR INV-1029 Customer_8E77
BNK-492146,2026-08-23,1576.12,PG-SETTLEMENT INV-1030 (LESS FEES)
BNK-EF606A,2026-08-22,3692.23,SETTLEMENT FOR INV-1031 Customer_CCFE
BNK-16D004,2026-08-28,1010.23,DELAYED SETTLEMENT INV-1032
BNK-8F691B,2026-08-22,4330.88,PG-SETTLEMENT INV-1033 (LESS FEES)
BNK-56B772,2026-08-22,3733.98,SETTLEMENT FOR INV-1034 Customer_85EA
BNK-3D7FAD,2026-08-24,1858.96,SETTLEMENT FOR INV-1035 Customer_86CE
BNK-76204F,2026-08-20,2011.48,SETTLEMENT FOR INV-1036 Customer_FE44
BNK-E4C3FC,2026-08-22,436.88,PG-SETTLEMENT INV-1037 (LESS FEES)
BNK-A74C6E,2026-08-23,3806.94,SETTLEMENT FOR INV-1038 Customer_0B6C
BNK-C441DB,2026-08-20,1974.49,WIRE TRANSFER RECV - REF UNAVAILABLE
BNK-03807C,2026-08-25,4824.14,SETTLEMENT FOR INV-1040 Customer_A025
BNK-F05966,2026-08-20,3284.67,PG-SETTLEMENT INV-1041 (LESS FEES)
BNK-9C477B,2026-08-20,1777.71,WIRE TRANSFER RECV - REF UNAVAILABLE
BNK-7669C7,2026-08-25,1233.9,SETTLEMENT FOR INV-1043 Customer_E4DF
BNK-C61ADF,2026-08-24,213.17,SETTLEMENT FOR INV-1044 Customer_02E0
BNK-44E93E,2026-08-20,2565.19,SETTLEMENT FOR INV-1045 Customer_7222
BNK-60453D,2026-08-20,3119.13,SETTLEMENT FOR INV-1046 Customer_CC05
BNK-13C313,2026-08-25,916.87,DELAYED SETTLEMENT INV-1047
BNK-23B721,2026-08-24,2645.95,SETTLEMENT FOR INV-1048 Customer_8486
BNK-DC1B3A,2026-08-25,1094.4,SETTLEMENT FOR INV-1049 Customer_C355
