Transaction_ID,Date,Expected_Amount,Customer_Name
INV-1000,2026-08-20,1042.21,Customer_C23B
INV-1001,2026-08-24,1158.86,Customer_D3F5
INV-1002,2026-08-20,4472.09,Customer_4BFB
INV-1003,2026-08-21,4324.4,Customer_7504
INV-1004,2026-08-25,3077.27,Customer_E52B
INV-1005,2026-08-25,2444.07,Customer_8FEE
INV-1006,2026-08-23,3799.35,Customer_74E2
INV-1007,2026-08-20,4585.23,Customer_6FEB
INV-1008,2026-08-20,3403.78,Customer_FA7A
INV-1009,2026-08-24,3218.87,Customer_6417
INV-1010,2026-08-21,3451.21,Customer_1F73
INV-1011,2026-08-25,4937.31,Customer_BD4F
INV-1012,2026-08-25,1505.61,Customer_2582
INV-1013,2026-08-20,782.71,Customer_2AC7
INV-1014,2026-08-25,920.8,Customer_E75D
INV-1015,2026-08-22,132.84,Customer_8D1E
INV-1016,2026-08-25,2248.8,Customer_68B8
INV-1017,2026-08-24,1072.26,Customer_2953
INV-1018,2026-08-20,499.58,Customer_4B69
INV-1019,2026-08-22,3192.48,Customer_697A
INV-1020,2026-08-22,1202.39,Customer_BC23
INV-1021,2026-08-22,2263.63,Customer_6EFF
INV-1022,2026-08-23,2421.15,Customer_D1F2
INV-1023,2026-08-23,4087.72,Customer_7728
INV-1024,2026-08-22,3598.62,Customer_7120
INV-1025,2026-08-23,3680.43,Customer_AEF7
INV-1026,2026-08-22,3113.68,Customer_E24C
INV-1027,2026-08-23,676.57,Customer_6471
INV-1028,2026-08-20,1778.24,Customer_2BB4
INV-1029,2026-08-24,3888.68,Customer_8E77
INV-1030,2026-08-23,1624.87,Customer_2504
INV-1031,2026-08-22,3692.23,Customer_CCFE
INV-1032,2026-08-24,1010.23,Customer_DBA1
INV-1033,2026-08-22,4464.82,Customer_D268
INV-1034,2026-08-22,3733.98,Customer_85EA
INV-1035,2026-08-24,1858.96,Customer_86CE
INV-1036,2026-08-20,2011.48,Customer_FE44
INV-1037,2026-08-22,450.39,Customer_7F18
INV-1038,2026-08-23,3806.94,Customer_0B6C
INV-1039,2026-08-20,1974.49,Customer_9068
INV-1040,2026-08-25,4824.14,Customer_A025
INV-1041,2026-08-20,3386.26,Customer_FD42
INV-1042,2026-08-20,1777.71,Customer_B7D4
INV-1043,2026-08-25,1233.9,Customer_E4DF
INV-1044,2026-08-24,213.17,Customer_02E0
INV-1045,2026-08-20,2565.19,Customer_7222
INV-1046,2026-08-20,3119.13,Customer_CC05
INV-1047,2026-08-21,916.87,Customer_87F8
INV-1048,2026-08-24,2645.95,Customer_8486
INV-1049,2026-08-25,1094.4,Customer_C355
